"Timestamp","Gender? (Jenis Kelamin?)","Age? (Usia?)","Employment status","Are you happy? (Apakah anda bahagia?)","Job Satisfaction - Do you enjoy your work?  (Apakah anda menikmati pekerjaan anda?)","Economic - Earning satisfaction (Kepuasaan terhadap pendapatan anda)","Living Condition - Are you happy with the surrounding where you live in? (Apakah anda bahagia dengan lingkungan sekitar anda?)","Health Condition - How healthy are you? (Level kesehatan anda)","Mental Wellness - Are you depressed? (Apakah anda depresi?)","Social Existence - How often do you use social media? (Seberapa sering anda menggunakan sosial media?)","Social Wellness - How good your relationship with the other? (Seberapa baik hubungan anda antar sesama?)"
"2019/06/29 5:18:21 pm GMT+7","Female","22","Employed","8","8","8","8","8","3","Often","8"
"2019/06/29 5:28:10 pm GMT+7","Male","25","Employed","8","7","7","9","10","5","Often","9"
"2019/06/29 5:45:00 pm GMT+7","Female","33","Employed","9","10","9","9","9","1","Normal","9"
"2019/06/29 6:03:35 pm GMT+7","Male","29","Employed","8","8","8","8","8","8","Normal","8"
"2019/06/29 6:11:37 pm GMT+7","Male","27","Unemployed","8","8","7","8","9","2","All the time","8"
"2019/06/29 6:25:45 pm GMT+7","Female","32","Employed","8","8","10","8","7","2","Often","7"
"2019/06/29 6:30:05 pm GMT+7","Male","40","Employed","7","8","6","7","8","4","Often","8"
"2019/06/29 6:32:40 pm GMT+7","Male","25","Unemployed","6","","7","7","7","8","Often","4"
"2019/06/29 6:36:58 pm GMT+7","Male","40","Employed","9","7","2","7","10","1","Rarely","10"
"2019/06/29 6:42:39 pm GMT+7","Male","24","Employed","10","10","9","9","10","1","Rarely","9"
"2019/06/29 6:46:36 pm GMT+7","Male","27","Unemployed","6","3","8","8","7","7","All the time","8"
"2019/06/29 6:47:29 pm GMT+7","Male","23","Unemployed","6","6","5","7","8","7","Normal","8"
"2019/06/29 6:47:43 pm GMT+7","Male","28","Employed","8","8","8","8","8","2","Often","8"
"2019/06/29 6:54:52 pm GMT+7","Female","30","Employed","9","7","8","8","8","1","Rarely","9"
"2019/06/29 6:56:03 pm GMT+7","Female","32","Employed","8","7","8","8","7","6","Often","4"
"2019/06/29 6:58:14 pm GMT+7","Male","33","Employed","8","8","6","5","9","4","Normal","9"
"2019/06/29 7:04:51 pm GMT+7","Female","30","Employed","7","6","6","5","9","1","Normal","7"
"2019/06/29 7:05:18 pm GMT+7","Male","29","Employed","8","5","8","9","9","2","Rarely","7"
"2019/06/29 7:07:28 pm GMT+7","Female","28","Employed","8","10","6","9","7","1","Rarely","7"
"2019/06/29 7:08:28 pm GMT+7","Female","28","Unemployed","9","9","9","9","8","1","Normal","8"
"2019/06/29 7:12:59 pm GMT+7","Female","29","Employed","10","9","8","9","8","1","Normal","9"
"2019/06/29 7:13:57 pm GMT+7","Male","28","Employed","8","8","6","6","7","4","Often","8"
"2019/06/29 7:15:33 pm GMT+7","Female","28","Employed","10","10","5","10","8","1","All the time","8"
"2019/06/29 7:59:20 pm GMT+7","Female","29","Employed","9","10","9","8","9","2","Normal","8"
"2019/06/29 8:00:12 pm GMT+7","Male","23","Unemployed","4","","8","5","4","4","Often","6"
"2019/06/29 8:04:00 pm GMT+7","Female","29","Employed","8","8","9","8","8","2","Normal","8"
"2019/06/29 8:30:29 pm GMT+7","Male","26","Unemployed","5","6","4","8","8","7","Rarely","4"
"2019/06/29 8:31:07 pm GMT+7","Male","19","Unemployed","8","8","6","8","8","6","All the time","7"
"2019/06/29 8:52:06 pm GMT+7","Male","24","Unemployed","7","","6","7","5","4","Often","7"
"2019/06/29 9:25:07 pm GMT+7","Male","24","Unemployed","7","","1","7","8","9","Often","8"
"2019/06/29 9:47:29 pm GMT+7","Female","20","Unemployed","9","8","7","10","10","1","Normal","9"
"2019/06/29 10:43:45 pm GMT+7","Female","23","Unemployed","7","","2","8","7","2","Often","8"
